experiment_id,mode,timestamp,action,step_id,step_name,short_text_viewed,long_text_viewed,single_pieces_viewed,assembly_viewed,video_viewed
1,Sentient,2025-11-13 09:59:37.452659,step_loaded,9.0,Withdraw Components for PIECE 5,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 09:59:47.747507,sentient_step_adapted,9.0,Withdraw Components for PIECE 5,1.0,0.0,1.0,0.0,0.0
1,Sentient,2025-11-13 09:59:54.252277,sentient_step_adapted,9.0,Withdraw Components for PIECE 5,1.0,0.0,1.0,0.0,0.0
1,Sentient,2025-11-13 10:02:26.057654,navigate_next,9.0,Withdraw Components for PIECE 5,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 10:02:26.111980,initial_suggestion,9.0,Withdraw Components for PIECE 5,1.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 10:02:26.250969,step_loaded,10.0,Assembly PIECE 5,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 10:04:38.499135,sentient_step_adapted,10.0,Assembly PIECE 5,0.0,0.0,1.0,1.0,0.0
1,Sentient,2025-11-13 10:05:35.668593,sentient_step_adapted,10.0,Assembly PIECE 5,1.0,0.0,0.0,1.0,0.0
1,Sentient,2025-11-13 10:40:50.316461,start_experiment,,,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 10:40:50.488510,step_loaded,1.0,Withdraw Components for PIECE 1,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 10:46:21.406313,start_experiment,,,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 10:46:22.555408,step_loaded,1.0,Withdraw Components for PIECE 1,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 10:46:44.084707,sentient_step_adapted,1.0,Withdraw Components for PIECE 1,1.0,0.0,1.0,0.0,0.0
1,Sentient,2025-11-13 10:47:27.642084,navigate_next,1.0,Withdraw Components for PIECE 1,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 10:47:27.675245,initial_suggestion,1.0,Withdraw Components for PIECE 1,1.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 10:47:27.768465,step_loaded,2.0,Assembly PIECE 1,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 10:47:40.144009,sentient_step_adapted,2.0,Assembly PIECE 1,1.0,0.0,1.0,1.0,0.0
1,Sentient,2025-11-13 10:47:41.754022,sentient_step_adapted,2.0,Assembly PIECE 1,1.0,0.0,1.0,1.0,1.0
1,Sentient,2025-11-13 10:47:43.923885,sentient_step_adapted,1.0,Withdraw Components for PIECE 1,1.0,0.0,1.0,0.0,0.0
1,Sentient,2025-11-13 11:06:19.109229,start_experiment,,,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 11:06:33.251256,sentient_step_adapted,1.0,Withdraw Components for PIECE 1,1.0,0.0,1.0,0.0,0.0
1,Sentient,2025-11-13 11:06:51.462846,navigate_next,1.0,Withdraw Components for PIECE 1,0.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 11:06:51.498202,initial_suggestion,1.0,Withdraw Components for PIECE 1,1.0,0.0,0.0,0.0,0.0
1,Sentient,2025-11-13 11:07:03.897750,sentient_step_adapted,2.0,Assembly PIECE 1,1.0,0.0,1.0,1.0,1.0
